;row;col;label
0;62;283;3
1;63;296;3
2;69;250;3
3;74;277;3
4;77;314;3
5;79;236;3
6;82;236;3
7;88;260;3
8;89;233;3
9;89;235;3
10;92;224;3
11;92;259;3
12;92;261;3
13;99;331;3
14;102;231;3
15;103;207;1
16;104;213;1
17;107;216;3
18;109;215;3
19;111;343;3
20;111;345;3
21;112;350;3
22;115;305;3
23;117;244;1
24;119;211;3
25;121;341;1
26;122;351;3
27;124;233;3
28;124;235;3
29;125;312;3
30;125;314;3
31;127;216;3
32;127;218;3
33;127;306;3
34;127;357;3
35;128;201;3
36;134;201;3
37;134;222;3
38;136;222;3
39;136;356;3
40;142;307;3
41;145;210;3
42;147;366;3
43;149;197;3
44;149;301;3
45;151;230;3
46;151;252;3
47;151;354;3
48;154;348;3
49;154;350;3
50;155;365;3
51;156;360;3
52;157;365;3
53;158;352;3
54;160;341;1
55;160;369;3
56;161;234;1
57;163;324;3
58;163;326;3
59;165;346;3
60;166;231;3
61;166;233;3
62;167;218;3
63;167;227;3
64;168;368;3
65;169;318;1
66;169;336;3
67;169;338;3
68;170;315;3
69;170;317;3
70;170;368;3
71;174;193;3
72;175;215;3
73;175;275;3
74;175;354;3
75;178;349;3
76;178;351;3
77;178;377;3
78;179;250;1
79;179;289;3
80;179;291;3
81;180;249;3
82;182;296;3
83;183;252;3
84;184;242;3
85;184;291;3
86;187;363;3
87;187;365;3
88;188;367;3
89;188;372;3
90;189;257;1
91;198;353;3
92;199;372;3
93;200;241;1
94;201;365;3
95;202;196;3
96;203;345;3
97;203;365;3
98;205;319;3
99;207;205;3
100;207;309;3
101;207;319;3
102;207;327;1
103;207;343;3
104;208;234;3
105;208;237;3
106;208;316;3
107;208;325;3
108;208;357;1
109;209;343;3
110;210;317;3
111;212;279;3
112;213;324;3
113;213;326;3
114;214;276;3
115;214;278;3
116;215;213;1
117;216;246;3
118;217;331;3
119;217;373;3
120;218;327;1
121;219;328;3
122;219;366;1
123;220;185;3
124;220;304;1
125;221;209;3
126;221;218;3
127;223;237;1
128;223;327;3
129;225;192;3
130;225;222;3
131;225;226;3
132;225;327;3
133;226;261;3
134;226;356;3
135;226;358;3
136;227;349;3
137;228;242;3
138;228;283;3
139;228;351;3
140;229;263;3
141;230;313;3
142;230;374;1
143;231;345;3
144;232;251;3
145;232;302;3
146;234;289;3
147;234;302;3
148;234;328;1
149;234;353;3
150;236;289;3
151;237;356;1
152;239;306;1
153;240;338;1
154;241;288;3
155;242;358;1
156;243;216;3
157;243;250;3
158;243;252;3
159;246;193;3
160;246;262;1
161;246;347;1
162;248;339;3
163;249;330;3
164;249;354;3
165;249;356;3
166;250;216;3
167;251;233;1
168;252;215;3
169;253;206;3
170;253;208;3
171;253;212;3
172;254;253;3
173;256;329;3
174;256;331;3
175;257;341;3
176;257;343;3
177;258;309;3
178;258;367;1
179;258;369;3
180;258;371;3
181;263;363;1
182;268;253;3
183;268;352;3
184;268;354;3
185;268;365;1
186;269;343;1
187;270;240;3
188;270;294;1
189;270;345;3
190;272;322;3
191;274;222;3
192;275;358;3
193;275;374;3
194;277;335;3
195;277;337;3
196;278;228;3
197;280;304;3
198;281;259;3
199;281;302;1
200;283;259;3
201;283;341;3
202;285;321;1
203;285;360;1
204;289;367;1
205;296;318;3
206;296;320;3
207;297;277;3
208;297;361;3
209;307;233;3
210;309;366;1
211;310;366;3
212;312;373;3
213;314;362;3
214;315;293;3
215;315;372;3
216;318;321;3
217;318;323;3
218;321;319;3
219;321;328;3
220;321;330;3
221;321;373;3
222;324;191;3
223;324;327;3
224;325;187;3
225;326;327;3
226;331;266;1
227;338;262;3
228;340;329;3
229;340;331;3
230;347;363;3
231;352;268;3
232;352;270;3
233;356;266;3
234;359;363;3
235;363;260;3
236;366;320;3
237;370;319;3
238;375;323;3
239;375;361;3
240;376;264;3
241;376;266;3
242;376;358;3
243;393;334;3
244;393;336;3
245;394;262;3
246;398;324;3
247;399;320;3
248;400;235;3
249;400;237;3
250;400;324;3
251;401;326;3
252;404;265;3
253;407;236;3
254;407;315;3
255;410;300;3
256;411;297;3
257;416;334;3
258;417;339;1
259;424;228;1
260;424;234;1
261;432;308;1
262;432;311;1
263;441;260;1
264;441;263;1
