;row;col;label
0;114;354;3
1;115;377;1
2;117;310;3
3;120;340;3
4;120;342;3
5;123;305;3
6;124;335;3
7;125;332;3
8;126;318;3
9;126;388;3
10;129;349;3
11;131;349;3
12;132;328;3
13;137;245;3
14;145;311;1
15;149;260;3
16;149;262;3
17;149;357;3
18;153;354;3
19;154;282;3
20;155;354;3
21;157;261;3
22;158;332;3
23;160;319;3
24;161;276;3
25;162;270;3
26;164;329;3
27;165;268;1
28;166;288;3
29;168;331;3
30;169;245;3
31;170;297;3
32;170;299;3
33;173;329;3
34;175;329;3
35;188;410;3
36;192;312;3
37;240;289;3
38;258;321;1
39;284;312;3
40;289;374;3
41;292;359;3
42;307;208;3
43;309;204;3
44;312;375;3
45;313;331;3
46;314;375;3
47;316;213;1
48;318;245;1
49;318;264;3
50;319;228;3
51;319;230;3
52;322;229;3
53;322;243;3
54;322;245;3
55;323;210;3
56;323;374;1
57;324;228;3
58;324;268;3
59;325;237;3
60;327;238;1
61;331;217;1
62;331;243;1
63;332;202;3
64;332;221;3
65;332;223;3
66;333;246;3
67;334;214;1
68;334;236;1
69;335;246;3
70;336;241;1
71;337;204;3
72;337;242;3
73;337;244;3
74;337;248;1
75;338;395;3
76;339;203;3
77;339;230;1
78;340;366;1
79;341;297;3
80;342;199;3
81;343;241;3
82;343;297;3
83;343;392;3
84;344;237;1
85;345;243;1
86;345;370;1
87;345;392;3
88;346;201;1
89;346;250;1
90;348;372;3
91;350;223;3
92;350;225;3
93;357;238;1
94;357;376;1
95;359;220;1
96;359;222;1
97;359;248;1
98;359;256;1
99;359;260;1
100;360;288;1
101;361;269;3
102;364;216;1
103;366;209;3
104;366;275;3
105;368;209;3
106;368;226;3
107;368;268;3
108;371;218;3
109;372;212;3
110;373;218;3
111;373;264;1
112;375;235;3
113;375;241;3
114;377;399;3
115;378;226;3
116;378;228;3
117;382;257;3
118;382;393;3
119;383;231;1
120;385;280;1
121;386;239;1
122;387;293;1
123;388;221;1
124;393;312;1
125;394;278;1
126;396;250;1
127;396;293;1
128;397;296;1
129;398;212;3
130;399;257;1
131;399;260;1
132;401;221;3
133;402;296;1
134;403;287;1
135;404;279;3
136;404;335;1
137;404;336;3
138;404;338;3
139;404;380;3
140;404;382;3
141;405;270;3
142;405;272;3
143;405;378;1
144;407;245;1
145;407;281;1
146;408;272;1
147;410;371;3
148;410;373;3
149;413;367;3
150;414;265;3
151;414;267;3
152;414;343;3
153;415;254;3
154;415;367;3
155;418;257;1
156;418;287;1
157;418;321;3
158;418;337;3
159;420;267;1
160;421;310;1
161;424;315;3
162;424;373;3
163;425;288;1
164;428;367;3
165;429;405;3
166;430;233;3
167;431;263;3
168;432;324;3
169;433;254;3
170;433;263;3
171;434;354;3
172;435;369;3
173;435;371;3
174;436;267;3
175;436;269;3
176;436;286;3
177;436;375;3
178;438;347;3
179;438;365;3
180;440;281;3
181;442;349;3
182;443;271;1
183;443;293;3
184;445;262;1
185;446;342;3
186;446;346;3
187;447;288;3
188;447;290;3
189;449;313;3
190;449;330;3
191;451;337;3
192;452;295;1
193;452;362;3
194;453;256;1
195;453;310;3
196;455;284;1
197;457;298;1
