;row;col;label
0;156;351;3
1;196;231;3
2;208;296;3
3;226;214;1
4;246;252;3
5;252;306;3
6;271;315;1
7;280;313;3
8;283;338;3
9;283;340;3
10;283;347;1
11;285;244;3
12;290;328;3
13;293;327;3
14;294;249;3
15;294;344;3
16;294;346;3
17;295;327;3
18;302;252;1
19;314;356;3
20;314;358;3
21;315;280;1
22;320;367;3
23;323;363;3
24;324;373;1
25;340;274;3
26;354;258;3
27;354;276;3
28;383;206;3
29;384;279;3
30;384;281;3
31;385;242;3
32;387;233;1
33;387;271;3
34;404;331;1
35;411;219;3
36;413;219;3
37;413;259;3
38;416;217;3
39;420;335;1
40;426;222;1
41;434;224;3
42;435;228;3
43;435;230;3
44;437;222;3
45;437;275;3
46;441;257;3
47;443;323;1
48;448;251;1
49;448;327;1
50;450;267;3
51;451;260;3
52;451;262;3
53;455;260;3
54;455;330;1
55;461;283;3
